""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"99854","198910","ABC","101","1","0 - 4.000"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Perry, Diego D.","Lecture","MWF","9:00 AM - 9:50 AM","LH1","110"
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
"1","106493344","Wright","Naomi","UG","4","SR","OT11","I","RE","naomi.i.wright@fakeu.edu"
"2","468819320","Hess","Isaiah","UG","4","SR","OT12","A","RE","isaiah.z.hess@fakeu.edu"
"3","540587819","Hansen","Olivia","UG","4","SR","OT13","A","RE","olivia.l.hansen@fakeu.edu"
"4","354671412","Odom","Miguel","UG","4","SR","OT14","B","RE","miguel.d.odom@fakeu.edu"
"5","320316855","Huber","Alyssa","UG","4","SR","OT15","A-","RE","alyssa.j.huber@fakeu.edu"
"6","539888083","Briggs","Victor","UG","4","SR","OT15","B+","RE","victor.m.briggs@fakeu.edu"
"7","362396301","West","Elijah","UG","4","JR","OT16","A-","RE","elijah.r.west@fakeu.edu"
"8","461597177","Mason","Jorge","UG","4","SO","OTH6","B-","RE","jorge.c.mason@fakeu.edu"
"9","483204606","Osborn","Chloe","UG","4","SO","OT17","A","RE","chloe.b.osborn@fakeu.edu"
"10","500818153","Guzman","Jordan","UG","4","SO","OT18","C-","RE","jordan.j.guzman@fakeu.edu"
"11","195163830","Tran","Ayden","UG","4","SO","OT19","A","RE","ayden.v.tran@fakeu.edu"
"12","171339648","Harris","Jesus","UG","4","SO","OT16","A","RE","jesus.j.harris@fakeu.edu"
"13","826505045","Knight","Victor","UG","4","FR","OT15","B-","RE","victor.a.knight@fakeu.edu"
"14","520083349","Bowers","Austin","UG","4","FR","OT20","A","RE","austin.u.bowers@fakeu.edu"
"15","732811320","May","Abigail","UG","4","FR","OT20","B+","RE","abigail.n.may@fakeu.edu"
"16","163425283","Bryant","Allison","UG","4","SO","OT13","B","RE","allison.a.bryant@fakeu.edu"
"17","419178656","Hall","Christopher","UG","4","FR","OT21","C+","RE","christopher.a.hall@fakeu.edu"
"18","691276660","Keller","Sebastian","UG","4","SO","OT22","B","RE","sebastian.l.keller@fakeu.edu"
"19","873035122","Jordan","Liam","UG","4","SO","OT22","B-","RE","liam.m.jordan@fakeu.edu"
"20","246651875","Holmes","Julia","UG","4","SO","OT12","B-","RE","julia.y.holmes@fakeu.edu"
"21","709875008","Todd","Amelia","UG","4","FR","OT23","C-","RE","amelia.d.todd@fakeu.edu"
"22","231308527","Collier","David","UG","4","JR","OT19","B","RE","david.j.collier@fakeu.edu"
"23","873327528","Smith","Nathan","UG","4","SO","ABC2","B-","RE","nathan.c.smith@fakeu.edu"
"24","442118470","Swanson","Benjamin","UG","4","SO","OT24","B-","RE","benjamin.g.swanson@fakeu.edu"
"25","347730507","Gilbert","Noah","UG","4","SO","OT12","B+","RE","noah.d.gilbert@fakeu.edu"
"26","241237682","Underwood","Julian","UG","4","JR","OTH8","B-","RE","julian.a.underwood@fakeu.edu"
"27","262654158","Mcleod","Angel","UG","4","JR","OT15","C","RE","angel.g.mcleod@fakeu.edu"
"28","293668524","Ellis","Jason","UG","4","SO","OT12","D","RE","jason.h.ellis@fakeu.edu"
"29","127317703","White","Matthew","UG","4","SO","OT12","B","RE","matthew.e.white@fakeu.edu"
"30","172045895","Reyes","Olivia","UG","4","FR","OT16","B","RE","olivia.e.reyes@fakeu.edu"
"31","488652976","Olson","Samuel","UG","4","FR","OTH8","C","RE","samuel.a.olson@fakeu.edu"
"32","710024071","Santos","Eli","UG","4","FR","OT25","C-","RE","eli.b.santos@fakeu.edu"
"33","133065096","Green","Liam","UG","4","FR","OT26","D","RE","liam.j.green@fakeu.edu"
"34","196227873","Hall","Mila","UG","4","JR","OT12","C","RE","mila.a.hall@fakeu.edu"
"35","704574700","Martinez","Adrian","UG","4","JR","OT27","C","RE","adrian.i.martinez@fakeu.edu"
"36","675940545","Sosa","Nicole","UG","4","JR","OT26","C-","RE","nicole.r.sosa@fakeu.edu"
"37","438982644","Robinson","Henry","UG","4","FR","OT26","C","RE","henry.s.robinson@fakeu.edu"
"38","761926292","Washington","Liam","UG","4","SR","OT14","A-","RE","liam.d.washington@fakeu.edu"
"39","423035405","Nguyen","Valerie","UG","4","FR","OT15","F","RE","valerie.a.nguyen@fakeu.edu"
"40","108721749","Meyers","Jacob","UG","4","JR","OT14","C-","RE","jacob.x.meyers@fakeu.edu"
"41","632811142","Cooper","Alyssa","UG","4","JR","OT28","C","RE","alyssa.t.cooper@fakeu.edu"
"42","138824350","Hughes","Kimberly","UG","4","JR","OT12","A","RE","kimberly.m.hughes@fakeu.edu"
"43","638021477","Smith","Gabriel","UG","4","JR","OT14","C","RE","gabriel.k.smith@fakeu.edu"
"44","238375747","Hines","Luis","UG","4","SR","OTH8","A","RE","luis.d.hines@fakeu.edu"
"45","736310410","Sloan","Kevin","UG","4","FR","OTH3","B+","RE","kevin.j.sloan@fakeu.edu"
"46","663071819","Moreno","Jayden","UG","4","FR","OT15","B-","RE","jayden.a.moreno@fakeu.edu"
"47","100995418","Finch","Mia","UG","4","JR","OT12","B","RE","mia.l.finch@fakeu.edu"
"48","619137377","Burgess","Eduardo","UG","4","FR","OT29","B","RE","eduardo.e.burgess@fakeu.edu"
"49","425656451","Maddox","Angel","UG","4","FR","OT26","A","RE","angel.a.maddox@fakeu.edu"
"50","237225675","Jackson","Lucas","UG","4","SO","OT26","C-","RE","lucas.j.jackson@fakeu.edu"
"51","875771767","Garner","Noah","UG","4","SO","OT30","B-","RE","noah.r.garner@fakeu.edu"
"52","707654125","Bentley","Evan","UG","4","FR","OT21","D","RE","evan.l.bentley@fakeu.edu"
"53","859167575","Miller","Arianna","UG","4","JR","OTH9","B-","RE","arianna.z.miller@fakeu.edu"
"54","121020933","Barrett","Natalia","UG","4","FR","OT16","C-","RE","natalia.j.barrett@fakeu.edu"
"55","527491189","Travis","Santiago","UG","4","FR","OTH8","D","RE","santiago.m.travis@fakeu.edu"
"56","113801486","Henderson","Maya","UG","4","SO","OT20","A","RE","maya.m.henderson@fakeu.edu"
"57","474698112","Simmons","Samuel","UG","4","JR","OT12","C","RE","samuel.u.simmons@fakeu.edu"
"58","198454426","Crawford","Savannah","UG","4","SO","OT26","A-","RE","savannah.d.crawford@fakeu.edu"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"","Discussion","T","8:00 AM - 8:50 AM","LH1","142"
""
